RN,RN_CD,geometry
선암로,3170058,"0    LINESTRING (129.3379188739488 35.5156394070756...
Name: geometry, dtype: object"
신복로,3170059,"0    LINESTRING (129.261931268559 35.54706801716472...
Name: geometry, dtype: object"
야음본로,3170060,"0    LINESTRING (129.3322533698741 35.5211411037369...
Name: geometry, dtype: object"
야음본로,3170060,"0    LINESTRING (129.3383806911473 35.5180792615033...
Name: geometry, dtype: object"
야음본로,3170060,"0    LINESTRING (129.3358891957026 35.5193267473510...
Name: geometry, dtype: object"
야음본로,3170060,"0    LINESTRING (129.335225672362 35.51965885594076...
Name: geometry, dtype: object"
야음본로,3170060,"0    LINESTRING (129.3332491888822 35.5206490913755...
Name: geometry, dtype: object"
야음본로,3170060,"0    LINESTRING (129.3357334697501 35.5194046904312...
Name: geometry, dtype: object"
야음본로,3170060,"0    LINESTRING (129.3381418578409 35.5181991788046...
Name: geometry, dtype: object"
야음본로,3170060,"0    LINESTRING (129.3378985998287 35.5183209466171...
Name: geometry, dtype: object"
야음본로,3170060,"0    LINESTRING (129.3388463831298 35.5175047355597...
Name: geometry, dtype: object"
야음본로,3170060,"0    LINESTRING (129.3386258372151 35.5179374516253...
Name: geometry, dtype: object"
온산로,3170061,"0    LINESTRING (129.3061116543928 35.4973999584982...
Name: geometry, dtype: object"
와와로,3170062,"0    LINESTRING (129.2734428402112 35.5502505955500...
Name: geometry, dtype: object"
테크노산업로,3351511,"0    LINESTRING (129.2958467748834 35.5128069053089...
Name: geometry, dtype: object"
테크노산업로,3351511,"0    LINESTRING (129.2970816994406 35.5133709141163...
Name: geometry, dtype: object"
테크노산업로,3351511,"0    LINESTRING (129.3005894406665 35.5182577723078...
Name: geometry, dtype: object"
신항로,3351512,"0    LINESTRING (129.3394550505734 35.4753461565074...
Name: geometry, dtype: object"
이예로,3351513,"0    LINESTRING (129.2737677969233 35.5289370379697...
Name: geometry, dtype: object"
갈밭로10번길,4310001,"0    LINESTRING (129.3415813812212 35.5361395097081...
Name: geometry, dtype: object"
갈밭로46번길,4310002,"0    LINESTRING (129.3454565852763 35.5361427687627...
Name: geometry, dtype: object"
강남로314번길,4310003,"0    LINESTRING (129.3430279254514 35.5474859399888...
Name: geometry, dtype: object"
강남로318번길,4310004,"0    LINESTRING (129.343545537797 35.54743841250499...
Name: geometry, dtype: object"
강남로410번길,4310005,"0    LINESTRING (129.3531056966405 35.5445208364766...
Name: geometry, dtype: object"
강남로410번길,4310005,"0    LINESTRING (129.3531648876681 35.5449589710726...
Name: geometry, dtype: object"
거마로104번길,4310006,"0    LINESTRING (129.3016436117722 35.5404208852452...
Name: geometry, dtype: object"
거마로117번길,4310010,"0    LINESTRING (129.3031734128345 35.539984230469,...
Name: geometry, dtype: object"
거마로118번길,4310011,"0    LINESTRING (129.3030332451076 35.5391472824348...
Name: geometry, dtype: object"
거마로118번길,4310011,"0    LINESTRING (129.3031364799619 35.5399952195012...
Name: geometry, dtype: object"
거마로133번길,4310014,"0    LINESTRING (129.304876479874 35.53982069027003...
Name: geometry, dtype: object"
거마로134번길,4310015,"0    LINESTRING (129.304876479874 35.53982069027003...
Name: geometry, dtype: object"
거마로17번길,4310020,"0    LINESTRING (129.2948050746755 35.5362225058224...
Name: geometry, dtype: object"
